Pr,a_0,a_1
0.01,0.9877543298125434,-0.080593249655819
0.02,0.9589580561770595,-0.11164928299348764
0.03,0.9384082093938724,-0.13464433663370212
0.04,0.9220122334479088,-0.1534976777428328
0.05,0.9082122506142095,-0.16972233341341492
0.06,0.8962205092519435,-0.1840917354469002
0.07,0.8855748990545804,-0.19706409767643063
0.08,0.8759776734586526,-0.20893686609135062
0.09,0.8672242398219814,-0.21991620005459606
0.1,0.8591670979933383,-0.2301517278731004
0.2,0.8010649920715801,-0.3078993269331233
0.30000000000000004,0.7634274807698893,-0.36237557879349314
0.4,0.7354334218529572,-0.40532115599597585
0.5,0.7131525833376606,-0.44116699456014064
0.6000000000000001,0.6946728437589063,-0.47213328539894833
0.7000000000000001,0.678910274891437,-0.49951120778550107
0.8,0.665187708356456,-0.5241250037570173
0.9,0.6530528254404044,-0.546536279475907
1,0.6421881643821705,-0.5671465084928958
2,0.5712631358574218,-0.7164667356217931
3,0.5308708083868524,-0.8155449793695659
4,0.5029524638674401,-0.8915569547895515
5,0.4817898935035062,-0.9540037500661791
6,0.46484690717880284,-1.007410637567887
7,0.4507804099247691,-1.0543136204945032
8,0.4387950536748011,-1.0962873555679984
9,0.4283819201776557,-1.1343816222697465
10,0.4191962552530465,-1.1693339451761466
20.0,0.3619609232975541,-1.4215549323414585
30.0,0.3311673432427162,-1.5889525947279135
40.0,0.3105538576294866,-1.7177152293372662
50.0,0.2952723828611377,-1.82376675452119
60.0,0.2832430887686361,-1.9146665473271909
70.0,0.2733902719795103,-1.994648908673717
80.0,0.2650886071954189,-2.0663443268752633
90.0,0.25794402562160607,-2.1315080249426024
100.0,0.25169300514544624,-2.1913743467401554
